Code,Company,Open,High,Low,AvgPrice,PrevAvg,Close,PrevClose,ChangePct,Trades,Volume,Value
AISP,Iraqi for Seed Production,6.920000,6.990000,6.900000,6.950000,7.030000,6.990000,7.000000,-0.142857,0,16819700,117569703.000000
BASH,Ashur International Bank For Investment,0.270000,0.270000,0.260000,0.265000,0.265000,0.260000,0.260000,0.000000,0,14641000,3806660.000000
BBOB,Bank Of Baghdad,3.940000,3.960000,3.930000,3.942500,3.955000,3.940000,3.940000,0.000000,0,260536544,1026513983.360000
BCOI,Commercial Bank of Iraq,0.800000,0.820000,0.800000,0.810000,0.895000,0.820000,0.900000,-8.888889,0,25772758,21133661.560000
BEFI,Economy Bank For Investment,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,0.000000,0,729,182.250000
BGUC,Gulf Commercial Bank,0.340000,0.340000,0.340000,0.340000,0.340000,0.340000,0.340000,0.000000,0,1700000,578000.000000
BIBI,Investment Bank of Iraq,0.230000,0.230000,0.230000,0.230000,0.230000,0.230000,0.230000,0.000000,0,690000,158700.000000
BIIB,Iraqi Islamic Bank,1.150000,1.150000,1.140000,1.145000,1.155000,1.140000,1.150000,-0.869565,0,1427831,1627727.340000
BIME,Iraqi Middle East Investment Bank,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.000000,0,4712435,329870.450000
BMNS,Al-Mansour Bank,1.760000,1.870000,1.760000,1.815000,1.765000,1.870000,1.760000,6.250000,0,696888320,1303181158.400000
BNOI,National Bank Of Iraq,3.180000,3.210000,3.180000,3.187500,3.190000,3.180000,3.180000,0.000000,0,78545456,249774550.080000
BROI,Credit Bank Of Iraq,0.800000,0.810000,0.800000,0.805000,0.792500,0.810000,0.790000,2.531646,0,6141630,4974720.300000
BSUC,Sumer Commerical Bank,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.000000,0,560000,44800.000000
BTIB,Al Taif Islamic Bank for Investment & Fi,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.000000,0,33797,30417.300000
HISH,Ishtar Hotels,9.200000,9.250000,9.200000,9.225000,9.165000,9.250000,9.150000,1.092896,0,5649595,52258753.750000
HMAN,Al-Mansour Hotels,43.000000,43.000000,43.000000,43.000000,43.375000,43.000000,43.000000,0.000000,0,34916,1501388.000000
IBSD,Baghdad Soft Drinks,4.900000,4.930000,4.900000,4.915000,4.882500,4.930000,4.900000,0.612245,0,211417024,1042285928.320000
IHFI,National Household Furniture Industry,1.050000,1.050000,1.050000,1.050000,1.070000,1.050000,1.070000,-1.869159,0,7883,8277.150000
IHLI,Al -HiLal Industries,2.500000,2.500000,2.500000,2.500000,2.675000,2.500000,2.600000,-3.846154,0,13342,33355.000000
IIDP,Iraqi Date Processing and Marketing,2.800000,2.850000,2.800000,2.825000,2.800000,2.850000,2.800000,1.785714,0,1870658,5331375.300000
IKLV,AL- Kindi of Veterinary Vaccines Drugs,2.400000,2.400000,2.400000,2.400000,2.470000,2.400000,2.500000,-4.000000,0,1200000,2880000.000000
IMAP,Al-Mansour Pharmaceuticals Industries,2.500000,2.500000,2.500000,2.500000,2.450000,2.500000,2.450000,2.040816,0,418398,1045995.000000
SBPT,Baghdad -Iraq Transportation,31.000000,31.000000,30.900000,30.950000,31.200000,30.900000,31.000000,-0.322581,0,5104800,157738320.000000
SKTA,Kharkh Tour Amuzement City ,4.700000,4.900000,4.350000,4.575000,4.375000,4.350000,4.400000,-1.136364,0,62639,272479.650000
SMRI,Mamoura Realestate Investment,5.300000,5.900000,5.300000,5.465000,4.835000,5.360000,5.170000,3.675048,0,141464208,758248154.880000
TASC,Asia Cell,12.550000,12.750000,12.550000,12.635000,12.575000,12.690000,12.550000,1.115538,0,336994400,4276458936.000000
TZNI,AlKatmat for Telecommunication,2.450000,2.450000,2.450000,2.450000,2.450000,2.450000,2.450000,0.000000,0,18814,46094.300000
